matrixDimension,timeInnerExact,errorInnerExact,timeOuterExact,errorOuterExact,timeOuterApprox,errorOuterApprox,subsample,subsampling
80,1.890000,0.000000,1.794000,0.000000,0.803000,1542.066162,0.400000,2
81,1.956000,0.000000,1.872000,0.000000,0.846000,1604.456177,0.400000,2
82,2.017000,0.000000,1.931000,0.000000,0.867000,1639.846313,0.400000,2
83,2.104000,0.000000,2.003000,0.000000,0.914000,1679.763550,0.400000,2
84,2.170000,0.000000,4.101000,0.000000,1.102000,1732.877197,0.400000,2
85,2.580000,0.000000,2.475000,0.000000,1.025000,1749.047119,0.400000,2
86,2.478000,0.000000,2.234000,0.000000,1.015000,1799.164429,0.400000,2
87,2.413000,0.000000,2.315000,0.000000,1.035000,1836.622192,0.400000,2
88,2.496000,0.000000,2.405000,0.000000,1.079000,1880.742432,0.400000,2
89,2.581000,0.000000,3.820000,0.000000,1.822000,1911.642212,0.400000,2
90,3.066000,0.000000,2.918000,0.000000,1.242000,1976.441406,0.400000,2
91,2.908000,0.000000,2.653000,0.000000,1.177000,1992.358765,0.400000,2
92,2.846000,0.000000,2.719000,0.000000,1.203000,2061.045654,0.400000,2
93,2.937000,0.000000,2.808000,0.000000,1.280000,2120.379639,0.400000,2
94,3.036000,0.000000,2.892000,0.000000,1.285000,2133.697021,0.400000,2
95,3.132000,0.000000,3.012000,0.000000,1.308000,2232.075195,0.400000,2
96,3.287000,0.000000,3.154000,0.000000,1.408000,2272.307373,0.400000,2
97,3.342000,0.000000,3.177000,0.000000,1.413000,2254.053711,0.400000,2
98,3.454000,0.000000,3.310000,0.000000,1.467000,2329.701904,0.400000,2
99,3.530000,0.000000,3.393000,0.000000,1.505000,2411.864502,0.400000,2
100,3.673000,0.000000,3.541000,0.000000,1.551000,2469.150635,0.400000,2
101,3.787000,0.000000,3.582000,0.000000,1.615000,2509.469238,0.400000,2
102,3.865000,0.000000,3.713000,0.000000,1.615000,2532.347412,0.400000,2
103,4.761000,0.000000,3.838000,0.000000,1.746000,2581.095947,0.400000,2
104,4.851000,0.000000,3.912000,0.000000,1.762000,2655.663574,0.400000,2
105,4.222000,0.000000,4.072000,0.000000,1.752000,2690.769531,0.400000,2
106,4.514000,0.000000,4.160000,0.000000,1.833000,2687.462646,0.400000,2
107,4.472000,0.000000,4.275000,0.000000,1.864000,2800.404785,0.400000,2
108,4.621000,0.000000,4.399000,0.000000,1.944000,2831.827637,0.400000,2
109,4.711000,0.000000,4.480000,0.000000,1.969000,2954.505127,0.400000,2
110,4.835000,0.000000,4.639000,0.000000,2.006000,2944.504150,0.400000,2
111,5.016000,0.000000,4.734000,0.000000,2.078000,3033.773193,0.400000,2
112,5.130000,0.000000,4.976000,0.000000,2.116000,3094.980225,0.400000,2
113,5.217000,0.000000,5.126000,0.000000,2.189000,3135.126709,0.400000,2
114,5.371000,0.000000,5.115000,0.000000,2.305000,3184.687988,0.400000,2
115,5.489000,0.000000,5.353000,0.000000,2.290000,3252.397217,0.400000,2
116,5.786000,0.000000,5.377000,0.000000,2.347000,3286.545410,0.400000,2
117,5.833000,0.000000,5.550000,0.000000,2.424000,3326.544434,0.400000,2
118,5.963000,0.000000,5.779000,0.000000,2.491000,3399.252930,0.400000,2
119,6.222000,0.000000,5.821000,0.000000,2.536000,3483.083496,0.400000,2
120,6.257000,0.000000,6.060000,0.000000,2.590000,3567.197510,0.400000,2
121,6.431000,0.000000,6.130000,0.000000,2.689000,3652.410645,0.400000,2
122,6.593000,0.000000,6.325000,0.000000,2.749000,3681.687012,0.400000,2
123,6.735000,0.000000,6.497000,0.000000,2.832000,3719.282227,0.400000,2
124,6.938000,0.000000,6.604000,0.000000,2.861000,3805.947266,0.400000,2
125,7.575000,0.000000,6.814000,0.000000,2.959000,3858.748535,0.400000,2
126,7.820000,0.000000,6.929000,0.000000,3.030000,3863.552490,0.400000,2
127,8.045000,0.000000,7.082000,0.000000,3.096000,3934.630127,0.400000,2
128,8.085000,0.000000,7.375000,0.000000,3.166000,4029.614014,0.400000,2
